intrinsic,argument_preparation,a64_instruction,result,supported_architecture
"uint16x4_t vmls_lane_u16(uint16x4_t a, uint16x4_t b, uint16x4_t v, const int lane)","a → Vd.4H
b → Vn.4H
v → Vm.4H
0 <= lane <= 3","MLS Vd.4H,Vn.4H,Vm.H[lane]",Vd.4H,"ARMv7
ARMv8"
"uint16x8_t vmlsq_lane_u16(uint16x8_t a, uint16x8_t b, uint16x4_t v, const int lane)","a → Vd.8H
b → Vn.8H
v → Vm.4H
0 <= lane <= 3","MLS Vd.8H,Vn.8H,Vm.H[lane]",Vd.8H,"ARMv7
ARMv8"
"uint32x2_t vmls_lane_u32(uint32x2_t a, uint32x2_t b, uint32x2_t v, const int lane)","a → Vd.2S
b → Vn.2S
v → Vm.2S
0 <= lane <= 1","MLS Vd.2S,Vn.2S,Vm.S[lane]",Vd.2S,"ARMv7
ARMv8"
"uint32x4_t vmlsq_lane_u32(uint32x4_t a, uint32x4_t b, uint32x2_t v, const int lane)","a → Vd.4S
b → Vn.4S
v → Vm.2S
0 <= lane <= 1","MLS Vd.4S,Vn.4S,Vm.S[lane]",Vd.4S,"ARMv7
ARMv8"
"float32x2_t vmls_lane_f32(float32x2_t a, float32x2_t b, float32x2_t v, const int lane)",0 <= lane <= 1,RESULT[I] = a[i] - (b[i] * v[lane]) for i = 0 to 1,N/A,"ARMv7
ARMv8"
"float32x4_t vmlsq_lane_f32(float32x4_t a, float32x4_t b, float32x2_t v, const int lane)",0 <= lane <= 1,RESULT[I] = a[i] - (b[i] * v[lane]) for i = 0 to 3,N/A,"ARMv7
ARMv8"
"int16x4_t vmls_laneq_s16(int16x4_t a,  int16x4_t b, int16x8_t v, const int lane)","a → Vd.4H
b → Vn.4H
v → Vm.8H
0 <= lane <= 7","MLS Vd.4H,Vn.4H,Vm.H[lane]",Vd.4H,ARMv8(AArch64)
"int16x8_t vmlsq_laneq_s16(int16x8_t a, int16x8_t b, int16x8_t v, const int lane)","a → Vd.8H
b → Vn.8H
v → Vm.8H
0 <= lane <= 7","MLS Vd.8H,Vn.8H,Vm.H[lane]",Vd.8H,ARMv8(AArch64)
"int32x2_t vmls_laneq_s32(int32x2_t a, int32x2_t b, int32x4_t v, const int lane)","a → Vd.2S
b → Vn.2S
v → Vm.4S
0 <= lane <= 3","MLS Vd.2S,Vn.2S,Vm.S[lane]",Vd.2S,ARMv8(AArch64)
"int32x4_t vmlsq_laneq_s32(int32x4_t a, int32x4_t b, int32x4_t v, const int lane)","a → Vd.4S
b → Vn.4S
v → Vm.4S
0 <= lane <= 3","MLS Vd.4S,Vn.4S,Vm.S[lane]",Vd.4S,ARMv8(AArch64)
"uint16x4_t vmls_laneq_u16(uint16x4_t a, uint16x4_t b, uint16x8_t v, const int lane)","a → Vd.4H
b → Vn.4H
v → Vm.8H
0 <= lane <= 7","MLS Vd.4H,Vn.4H,Vm.H[lane]",Vd.4H,ARMv8(AArch64)
"uint16x8_t vmlsq_laneq_u16(uint16x8_t a, uint16x8_t b, uint16x8_t v, const int lane)","a → Vd.8H
b → Vn.8H
v → Vm.8H
0 <= lane <= 7","MLS Vd.8H,Vn.8H,Vm.H[lane]",Vd.8H,ARMv8(AArch64)
"uint32x2_t vmls_laneq_u32(uint32x2_t a, uint32x2_t b, uint32x4_t v, const int lane)","a → Vd.2S
b → Vn.2S
v → Vm.4S
0 <= lane <= 3","MLS Vd.2S,Vn.2S,Vm.S[lane]",Vd.2S,ARMv8(AArch64)
"uint32x4_t vmlsq_laneq_u32(uint32x4_t a, uint32x4_t b, uint32x4_t v, const int lane)","a → Vd.4S
b → Vn.4S
v → Vm.4S
0 <= lane <= 3","MLS Vd.4S,Vn.4S,Vm.S[lane]",Vd.4S,ARMv8(AArch64)
"float32x2_t vmls_laneq_f32(float32x2_t a, float32x2_t b, float32x4_t v, const int lane)",0 <= lane <= 3,RESULT[I] = a[i] - (b[i] * v[lane]) for i = 0 to 1,N/A,ARMv8(AArch64)
"float32x4_t vmlsq_laneq_f32(float32x4_t a, float32x4_t b, float32x4_t v, const int lane)",0 <= lane <= 3,RESULT[I] = a[i] - (b[i] * v[lane]) for i = 0 to 3,N/A,ARMv8(AArch64)
"int32x4_t vmlsl_lane_s16(int32x4_t a, int16x4_t b, int16x4_t v, const int lane)","a → Vd.4S
b → Vn.4H
v → Vm.4H
0 <= lane <= 3","SMLSL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,"ARMv7
ARMv8"
"int64x2_t vmlsl_lane_s32(int64x2_t a, int32x2_t b, int32x2_t v, const int lane)","a → Vd.2D
b → Vn.2S
v → Vm.2S
0 <= lane <= 1","SMLSL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,"ARMv7
ARMv8"
"uint32x4_t vmlsl_lane_u16(uint32x4_t a, uint16x4_t b, uint16x4_t v, const int lane)","a → Vd.4S
b → Vn.4H
v → Vm.4H
0 <= lane <= 3","UMLSL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,"ARMv7
ARMv8"
"uint64x2_t vmlsl_lane_u32(uint64x2_t a, uint32x2_t b, uint32x2_t v, const int lane)","a → Vd.2D
b → Vn.2S
v → Vm.2S
0 <= lane <= 1","UMLSL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,"ARMv7
ARMv8"
"int32x4_t vmlsl_high_lane_s16(int32x4_t a, int16x8_t b, int16x4_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.4H
0 <= lane <= 3","SMLSL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vmlsl_high_lane_s32(int64x2_t a, int32x4_t b, int32x2_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.2S
0 <= lane <= 1","SMLSL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"uint32x4_t vmlsl_high_lane_u16(uint32x4_t a, uint16x8_t b, uint16x4_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.4H
0 <= lane <= 3","UMLSL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"uint64x2_t vmlsl_high_lane_u32(uint64x2_t a, uint32x4_t b, uint32x2_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.2S
0 <= lane <= 1","UMLSL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32x4_t vmlsl_laneq_s16(int32x4_t a, int16x4_t b, int16x8_t v, const int lane)","a → Vd.4S
b → Vn.4H
v → Vm.8H
0 <= lane <= 7","SMLSL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vmlsl_laneq_s32(int64x2_t a, int32x2_t b, int32x4_t v, const int lane)","a → Vd.2D
b → Vn.2S
v → Vm.4S
0 <= lane <= 3","SMLSL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"uint32x4_t vmlsl_laneq_u16(uint32x4_t a, uint16x4_t b, uint16x8_t v, const int lane)","a → Vd.4S
b → Vn.4H
v → Vm.8H
0 <= lane <= 7","UMLSL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"uint64x2_t vmlsl_laneq_u32(uint64x2_t a, uint32x2_t b, uint32x4_t v, const int lane)","a → Vd.2D
b → Vn.2S
v → Vm.4S
0 <= lane <= 3","UMLSL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32x4_t vmlsl_high_laneq_s16(int32x4_t a, int16x8_t b, int16x8_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.8H
0 <= lane <= 7","SMLSL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vmlsl_high_laneq_s32(int64x2_t a, int32x4_t b, int32x4_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.4S
0 <= lane <= 3","SMLSL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"uint32x4_t vmlsl_high_laneq_u16(uint32x4_t a, uint16x8_t b, uint16x8_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.8H
0 <= lane <= 7","UMLSL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"uint64x2_t vmlsl_high_laneq_u32(uint64x2_t a, uint32x4_t b, uint32x4_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.4S
0 <= lane <= 3","UMLSL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32x4_t vqdmlsl_lane_s16(int32x4_t a, int16x4_t b, int16x4_t v, const int lane)","a → Vd.4S
b → Vn.4H
v → Vm.4H
0 <= lane <= 3","SQDMLSL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,"ARMv7
ARMv8"
"int64x2_t vqdmlsl_lane_s32(int64x2_t a, int32x2_t b, int32x2_t v, const int lane)","a → Vd.2D
b → Vn.2S
v → Vm.2S
0 <= lane <= 1","SQDMLSL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,"ARMv7
ARMv8"
"int32_t vqdmlslh_lane_s16(int32_t a, int16_t b, int16x4_t v, const int lane)","a → Sd
b → Hn
v → Vm.4H
0 <= lane <= 3","SQDMLSL Sd,Hn,Vm.H[lane]",Sd,ARMv8(AArch64)
"int64_t vqdmlsls_lane_s32(int64_t a, int32_t b, int32x2_t v, const int lane)","a → Dd
b → Sn
v → Vm.2S
0 <= lane <= 1","SQDMLSL Dd,Sn,Vm.S[lane]",Dd,ARMv8(AArch64)
"int32x4_t vqdmlsl_high_lane_s16(int32x4_t a, int16x8_t b, int16x4_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.4H
0 <= lane <= 3","SQDMLSL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vqdmlsl_high_lane_s32(int64x2_t a, int32x4_t b, int32x2_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.2S
0 <= lane <= 1","SQDMLSL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32x4_t vqdmlsl_laneq_s16(int32x4_t a, int16x4_t b, int16x8_t v, const int lane)","a → Vd.4S
b → Vn.4H
v → Vm.8H
0 <= lane <= 7","SQDMLSL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vqdmlsl_laneq_s32(int64x2_t a, int32x2_t b, int32x4_t v, const int lane)","a → Vd.2D
b → Vn.2S
v → Vm.4S
0 <= lane <= 3","SQDMLSL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32_t vqdmlslh_laneq_s16(int32_t a, int16_t b, int16x8_t v, const int lane)","a → Sd
b → Hn
v → Vm.8H
0 <= lane <= 7","SQDMLSL Sd,Hn,Vm.H[lane]",Sd,ARMv8(AArch64)
"int64_t vqdmlsls_laneq_s32(int64_t a, int32_t b, int32x4_t v, const int lane)","a → Dd
b → Sn
v → Vm.4S
0 <= lane <= 3","SQDMLSL Dd,Sn,Vm.S[lane]",Dd,ARMv8(AArch64)
"int32x4_t vqdmlsl_high_laneq_s16(int32x4_t a, int16x8_t b, int16x8_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.8H
0 <= lane <= 7","SQDMLSL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vqdmlsl_high_laneq_s32(int64x2_t a, int32x4_t b, int32x4_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.4S
0 <= lane <= 3","SQDMLSL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int16x4_t vmul_n_s16(int16x4_t a, int16_t b)","a → Vn.4H
b → Vm.H[0]","MUL Vd.4H,Vn.4H,Vm.H[0]",Vd.4H,"ARMv7
ARMv8"
"int16x8_t vmulq_n_s16(int16x8_t a, int16_t b)","a → Vn.8H
b → Vm.H[0]","MUL Vd.8H,Vn.8H,Vm.H[0]",Vd.8H,"ARMv7
ARMv8"
"int32x2_t vmul_n_s32(int32x2_t a, int32_t b)","a → Vn.2S
b → Vm.S[0]","MUL Vd.2S,Vn.2S,Vm.S[0]",Vd.2S,"ARMv7
ARMv8"
"int32x4_t vmulq_n_s32(int32x4_t a, int32_t b)","a → Vn.4S
b → Vm.S[0]","MUL Vd.4S,Vn.4S,Vm.S[0]",Vd.4S,"ARMv7
ARMv8"
"uint16x4_t vmul_n_u16(uint16x4_t a, uint16_t b)","a → Vn.4H
b → Vm.H[0]","MUL Vd.4H,Vn.4H,Vm.H[0]",Vd.4H,"ARMv7
ARMv8"
"uint16x8_t vmulq_n_u16(uint16x8_t a, uint16_t b)","a → Vn.8H
b → Vm.H[0]","MUL Vd.8H,Vn.8H,Vm.H[0]",Vd.8H,"ARMv7
ARMv8"
"uint32x2_t vmul_n_u32(uint32x2_t a, uint32_t b)","a → Vn.2S
b → Vm.S[0]","MUL Vd.2S,Vn.2S,Vm.S[0]",Vd.2S,"ARMv7
ARMv8"
"uint32x4_t vmulq_n_u32(uint32x4_t a, uint32_t b)","a → Vn.4S
b → Vm.S[0]","MUL Vd.4S,Vn.4S,Vm.S[0]",Vd.4S,"ARMv7
ARMv8"
"float32x2_t vmul_n_f32(float32x2_t a, float32_t b)","a → Vn.2S
b → Vm.S[0]","FMUL Vd.2S,Vn.2S,Vm.S[0]",Vd.2S,"ARMv7
ARMv8"
"float32x4_t vmulq_n_f32(float32x4_t a, float32_t b)","a → Vn.4S
b → Vm.S[0]","FMUL Vd.4S,Vn.4S,Vm.S[0]",Vd.4S,"ARMv7
ARMv8"
"int32x4_t vqdmlsl_high_laneq_s16(int32x4_t a, int16x8_t b, int16x8_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.8H
0 <= lane <= 7","SQDMLSL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vqdmlsl_high_laneq_s32(int64x2_t a, int32x4_t b, int32x4_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.4S
0 <= lane <= 3","SQDMLSL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int16x4_t vmul_n_s16(int16x4_t a, int16_t b)","a → Vn.4H
b → Vm.H[0]","MUL Vd.4H,Vn.4H,Vm.H[0]",Vd.4H,"ARMv7
ARMv8"
"int16x8_t vmulq_n_s16(int16x8_t a, int16_t b)","a → Vn.8H
b → Vm.H[0]","MUL Vd.8H,Vn.8H,Vm.H[0]",Vd.8H,"ARMv7
ARMv8"
"int32x2_t vmul_n_s32(int32x2_t a, int32_t b)","a → Vn.2S
b → Vm.S[0]","MUL Vd.2S,Vn.2S,Vm.S[0]",Vd.2S,"ARMv7
ARMv8"
"int32x4_t vmulq_n_s32(int32x4_t a, int32_t b)","a → Vn.4S
b → Vm.S[0]","MUL Vd.4S,Vn.4S,Vm.S[0]",Vd.4S,"ARMv7
ARMv8"
"uint16x4_t vmul_n_u16(uint16x4_t a, uint16_t b)","a → Vn.4H
b → Vm.H[0]","MUL Vd.4H,Vn.4H,Vm.H[0]",Vd.4H,"ARMv7
ARMv8"
"uint16x8_t vmulq_n_u16(uint16x8_t a, uint16_t b)","a → Vn.8H
b → Vm.H[0]","MUL Vd.8H,Vn.8H,Vm.H[0]",Vd.8H,"ARMv7
ARMv8"
"uint32x2_t vmul_n_u32(uint32x2_t a, uint32_t b)","a → Vn.2S
b → Vm.S[0]","MUL Vd.2S,Vn.2S,Vm.S[0]",Vd.2S,"ARMv7
ARMv8"
"uint32x4_t vmulq_n_u32(uint32x4_t a, uint32_t b)","a → Vn.4S
b → Vm.S[0]","MUL Vd.4S,Vn.4S,Vm.S[0]",Vd.4S,"ARMv7
ARMv8"
"float32x2_t vmul_n_f32(float32x2_t a, float32_t b)","a → Vn.2S
b → Vm.S[0]","FMUL Vd.2S,Vn.2S,Vm.S[0]",Vd.2S,"ARMv7
ARMv8"
"float32x4_t vmulq_n_f32(float32x4_t a, float32_t b)","a → Vn.4S
b → Vm.S[0]","FMUL Vd.4S,Vn.4S,Vm.S[0]",Vd.4S,"ARMv7
ARMv8"
"float32x4_t vmulq_lane_f32(float32x4_t a, float32x2_t v, const int lane)","a → Vn.4S
v → Vm.2S
0 <= lane <= 1","FMUL Vd.4S,Vn.4S,Vm.S[lane]",Vd.4S,"ARMv7
ARMv8"
"float64x1_t vmul_lane_f64(float64x1_t a, float64x1_t v, const int lane)","a → Dn
v → Vm.1D
lane == 0","FMUL Dd,Dn,Vm.D[lane]",Dd,ARMv8(AArch64)
"float64x2_t vmulq_lane_f64(float64x2_t a, float64x1_t v, const int lane)","a → Vn.2D
v → Vm.1D
lane == 0","FMUL Vd.2D,Vn.2D,Vm.D[lane]",Vd.2D,ARMv8(AArch64)
"float32_t vmuls_lane_f32(float32_t a, float32x2_t v, const int lane)","a → Sn
v → Vm.2S
0 <= lane <= 1","FMUL Sd,Sn,Vm.S[lane]",Sd,ARMv8(AArch64)
"float64_t vmuld_lane_f64(float64_t a, float64x1_t v, const int lane)","a → Dn
v → Vm.1D
lane == 0","FMUL Dd,Dn,Vm.D[lane]",Dd,ARMv8(AArch64)
"int16x4_t vmul_laneq_s16(int16x4_t a, int16x8_t v, const int lane)","a → Vn.4H
v → Vm.8H
0 <= lane <= 7","MUL Vd.4H,Vn.4H,Vm.H[lane]",Vd.4H,ARMv8(AArch64)
"int16x8_t vmulq_laneq_s16(int16x8_t a, int16x8_t v, const int lane)","a → Vn.8H
v → Vm.8H
0 <= lane <= 7","MUL Vd.8H,Vn.8H,Vm.H[lane]",Vd.8H,ARMv8(AArch64)
"int32x2_t vmul_laneq_s32(int32x2_t a, int32x4_t v, const int lane)","a → Vn.2S
v → Vm.4S
0 <= lane <= 3","MUL Vd.2S,Vn.2S,Vm.S[lane]",Vd.2S,ARMv8(AArch64)
"int32x4_t vmulq_laneq_s32(int32x4_t a, int32x4_t v, const int lane)","a → Vn.4S
v → Vm.4S
0 <= lane <= 3","MUL Vd.4S,Vn.4S,Vm.S[lane]",Vd.4S,ARMv8(AArch64)
"uint16x4_t vmul_laneq_u16(uint16x4_t a, uint16x8_t v, const int lane)","a → Vn.4H
v → Vm.8H
0 <= lane <= 7","MUL Vd.4H,Vn.4H,Vm.H[lane]",Vd.4H,ARMv8(AArch64)
"uint16x8_t vmulq_laneq_u16(uint16x8_t a, uint16x8_t v, const int lane)","a → Vn.8H
v → Vm.8H
0 <= lane <= 7","MUL Vd.8H,Vn.8H,Vm.H[lane]",Vd.8H,ARMv8(AArch64)
"uint32x2_t vmul_laneq_u32(uint32x2_t a, uint32x4_t v, const int lane)","a → Vn.2S
v → Vm.4S
0 <= lane <= 3","MUL Vd.2S,Vn.2S,Vm.S[lane]",Vd.2S,ARMv8(AArch64)
"uint32x4_t vmulq_laneq_u32(uint32x4_t a, uint32x4_t v, const int lane)","a → Vn.4S
v → Vm.4S
0 <= lane <= 3","MUL Vd.4S,Vn.4S,Vm.S[lane]",Vd.4S,ARMv8(AArch64)
"float32x2_t vmul_laneq_f32(float32x2_t a, float32x4_t v, const int lane)","a → Vn.2S
v → Vm.4S
0 <= lane <= 3","FMUL Vd.2S,Vn.2S,Vm.S[lane]",Vd.2S,ARMv8(AArch64)
"float32x4_t vmulq_laneq_f32(float32x4_t a, float32x4_t v, const int lane)","a → Vn.4S
v → Vm.4S
0 <= lane <= 3","FMUL Vd.4S,Vn.4S,Vm.S[lane]",Vd.4S,ARMv8(AArch64)
"float64x1_t vmul_laneq_f64(float64x1_t a, float64x2_t v, const int lane)","a → Dn
v → Vm.2D
0 <= lane <= 1","FMUL Dd,Dn,Vm.D[lane]",Dd,ARMv8(AArch64)
"float64x2_t vmulq_laneq_f64(float64x2_t a, float64x2_t v, const int lane)","a → Vn.2D
v → Vm.2D
0 <= lane <= 1","FMUL Vd.2D,Vn.2D,Vm.D[lane]",Vd.2D,ARMv8(AArch64)
"float32_t vmuls_laneq_f32(float32_t a, float32x4_t v, const int lane)","a → Sn
v → Vm.4S
0 <= lane <= 3","FMUL Sd,Sn,Vm.S[lane]",Sd,ARMv8(AArch64)
"float64_t vmuld_laneq_f64(float64_t a, float64x2_t v, const int lane)","a → Dn
v → Vm.2D
0 <= lane <= 1","FMUL Dd,Dn,Vm.D[lane]",Dd,ARMv8(AArch64)
"int32x4_t vmull_n_s16(int16x4_t a, int16_t b)","a → Vn.4H
b → Vm.H[0]","SMULL Vd.4S,Vn.4H,Vm.H[0]",Vd.4S,"ARMv7
ARMv8"
"int64x2_t vmull_n_s32(int32x2_t a, int32_t b)","a → Vn.2S
b → Vm.S[0]","SMULL Vd.2D,Vn.2S,Vm.S[0]",Vd.2D,"ARMv7
ARMv8"
"uint32x4_t vmull_n_u16(uint16x4_t a, uint16_t b)","a → Vn.4H
b → Vm.H[0]","UMULL Vd.4S,Vn.4H,Vm.H[0]",Vd.4S,"ARMv7
ARMv8"
"uint64x2_t vmull_n_u32(uint32x2_t a, uint32_t b)","a → Vn.2S
b → Vm.S[0]","UMULL Vd.2D,Vn.2S,Vm.S[0]",Vd.2D,"ARMv7
ARMv8"
"int32x4_t vmull_high_n_s16(int16x8_t a, int16_t b)","a → Vn.8H
b → Vm.H[0]","SMULL2 Vd.4S,Vn.8H,Vm.H[0]",Vd.4S,ARMv8(AArch64)
"int64x2_t vmull_high_n_s32(int32x4_t a, int32_t b)","a → Vn.4S
b → Vm.S[0]","SMULL2 Vd.2D,Vn.4S,Vm.S[0]",Vd.2D,ARMv8(AArch64)
"uint32x4_t vmull_high_n_u16(uint16x8_t a, uint16_t b)","a → Vn.8H
b → Vm.H[0]","UMULL2 Vd.4S,Vn.8H,Vm.H[0]",Vd.4S,ARMv8(AArch64)
"uint64x2_t vmull_high_n_u32(uint32x4_t a, uint32_t b)","a → Vn.4S
b → Vm.S[0]","UMULL2 Vd.2D,Vn.4S,Vm.S[0]",Vd.2D,ARMv8(AArch64)
"int32x4_t vmull_lane_s16(int16x4_t a, int16x4_t v, const int lane)","a → Vn.4H
v → Vm.4H
0 <= lane <= 3","SMULL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,"ARMv7
ARMv8"
"int64x2_t vmull_lane_s32(int32x2_t a, int32x2_t v, const int lane)","a → Vn.2S
v → Vm.2S
0 <= lane <= 1","SMULL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,"ARMv7
ARMv8"
"uint32x4_t vmull_lane_u16(uint16x4_t a, uint16x4_t v, const int lane)","a → Vn.4H
v → Vm.4H
0 <= lane <= 3","UMULL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,"ARMv7
ARMv8"
"uint64x2_t vmull_lane_u32(uint32x2_t a, uint32x2_t v, const int lane)","a → Vn.2S
v → Vm.2S
0 <= lane <= 1","UMULL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,"ARMv7
ARMv8"
"int32x4_t vmull_high_lane_s16(int16x8_t a, int16x4_t v, const int lane)","a → Vn.8H
v → Vm.4H
0 <= lane <= 3","SMULL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vmull_high_lane_s32(int32x4_t a, int32x2_t v, const int lane)","a → Vn.4S
v → Vm.2S
0 <= lane <= 1","SMULL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"uint32x4_t vmull_high_lane_u16(uint16x8_t a, uint16x4_t v, const int lane)","a → Vn.8H
v → Vm.4H
0 <= lane <= 3","UMULL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"uint64x2_t vmull_high_lane_u32(uint32x4_t a, uint32x2_t v, const int lane)","a → Vn.4S
v → Vm.2S
0 <= lane <= 1","UMULL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32x4_t vmull_laneq_s16(int16x4_t a, int16x8_t v, const int lane)","a → Vn.4H
v → Vm.8H
0 <= lane <= 7","SMULL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vmull_laneq_s32(int32x2_t a, int32x4_t v, const int lane)","a → Vn.2S
v → Vm.4S
0 <= lane <= 3","SMULL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"uint32x4_t vmull_laneq_u16(uint16x4_t a, uint16x8_t v, const int lane)","a → Vn.4H
v → Vm.8H
0 <= lane <= 7","UMULL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"uint64x2_t vmull_laneq_u32(uint32x2_t a, uint32x4_t v, const int lane)","a → Vn.2S
v → Vm.4S
0 <= lane <= 3","UMULL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32x4_t vmull_high_laneq_s16(int16x8_t a, int16x8_t v, const int lane)","a → Vn.8H
v → Vm.8H
0 <= lane <= 7","SMULL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vmull_high_laneq_s32(int32x4_t a, int32x4_t v, const int lane)","a → Vn.4S
v → Vm.4S
0 <= lane <= 3","SMULL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"uint32x4_t vmull_high_laneq_u16(uint16x8_t a, uint16x8_t v, const int lane)","a → Vn.8H
v → Vm.8H
0 <= lane <= 7","UMULL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"uint64x2_t vmull_high_laneq_u32(uint32x4_t a, uint32x4_t v, const int lane)","a → Vn.4S
v → Vm.4S
0 <= lane <= 3","UMULL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32x4_t vqdmull_n_s16(int16x4_t a, int16_t b)","a → Vn.4H
b → Vm.H[0]","SQDMULL Vd.4S,Vn.4H,Vm.H[0]",Vd.4S,"ARMv7
ARMv8"
"int64x2_t vqdmull_n_s32(int32x2_t a, int32_t b)","a → Vn.2S
b → Vm.S[0]","SQDMULL Vd.2D,Vn.2S,Vm.S[0]",Vd.2D,"ARMv7
ARMv8"
"int32x4_t vqdmull_high_n_s16(int16x8_t a, int16_t b)","a → Vn.8H
b → Vm.H[0]","SQDMULL2 Vd.4S,Vn.8H,Vm.H[0]",Vd.4S,ARMv8(AArch64)
"int64x2_t vqdmull_high_n_s32(int32x4_t a, int32_t b)","a → Vn.4S
b → Vm.S[0]","SQDMULL2 Vd.2D,Vn.4S,Vm.S[0]",Vd.2D,ARMv8(AArch64)
"int32x4_t vqdmull_lane_s16(int16x4_t a, int16x4_t v, const int lane)","a → Vn.4H
v → Vm.4H
0 <= lane <= 3","SQDMULL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,"ARMv7
ARMv8"
"int64x2_t vqdmull_lane_s32(int32x2_t a, int32x2_t v, const int lane)","a → Vn.2S
v → Vm.2S
0 <= lane <= 1","SQDMULL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,"ARMv7
ARMv8"
"int32_t vqdmullh_lane_s16(int16_t a, int16x4_t v, const int lane)","a → Hn
v → Vm.4H
0 <= lane <= 3","SQDMULL Sd,Hn,Vm.H[lane]",Sd,ARMv8(AArch64)
"int64_t vqdmulls_lane_s32(int32_t a, int32x2_t v, const int lane)","a → Sn
v → Vm.2S
0 <= lane <= 1","SQDMULL Dd,Sn,Vm.S[lane]",Dd,ARMv8(AArch64)
